,CountryCode,name
1,ALA,Åland Islands
2,ALB,Albania
5,AND,Andorra
14,AUT,Austria
20,BLR,Belarus
21,BEL,Belgium
28,BIH,Bosnia and Herzegovina
34,BGR,Bulgaria
55,HRV,Croatia
59,CZE,Czechia
60,DNK,Denmark
69,EST,Estonia
73,FRO,Faroe Islands
75,FIN,Finland
76,FRA,France
83,DEU,Germany
85,GIB,Gibraltar
86,GRC,Greece
92,GGY,Guernsey
98,VAT,Holy See
101,HUN,Hungary
102,ISL,Iceland
107,IRL,Ireland
108,IMN,Isle of Man
110,ITA,Italy
113,JEY,Jersey
123,LVA,Latvia
128,LIE,Liechtenstein
129,LTU,Lithuania
130,LUX,Luxembourg
137,MLT,Malta
145,MDA,"Moldova, Republic of"
146,MCO,Monaco
148,MNE,Montenegro
156,NLD,Netherlands
164,MKD,North Macedonia
166,NOR,Norway
177,POL,Poland
178,PRT,Portugal
182,ROU,Romania
183,RUS,Russian Federation
193,SMR,San Marino
197,SRB,Serbia
202,SVK,Slovakia
203,SVN,Slovenia
209,ESP,Spain
213,SJM,Svalbard and Jan Mayen
214,SWE,Sweden
215,CHE,Switzerland
232,UKR,Ukraine
234,GBR,United Kingdom of Great Britain and Northern Ireland
